TIME,OUT_T[*C],OUT_H[%],T6[*C],H6[%],T12[*C],H12[%],T18[*C],H18[%],T19[*C],H19[%],T24[*C],H24[%],T25[*C],H25[%],T26[*C],H26[%],LAMP_STATE,FAN_STATE,AC_STATE,HEATER_STATE,M0,M1,M2,M3,M4,M5,M6,M8,M9,M10,M11,M12,M13,M14,M15
2020-02-04 17:14:30.137358,38.0,20.0,32.0,38.0,31.0,36.0,27.0,46.0,37.0,29.0,33.0,29.0,29.0,37.0,30.0,42.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-04 17:14:38.945056,38.0,20.0,32.0,39.0,31.0,37.0,27.0,46.0,37.0,28.0,33.0,30.0,29.0,37.0,30.0,42.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-04 17:14:47.808072,38.0,21.0,32.0,39.0,30.0,36.0,27.0,46.0,36.0,28.0,33.0,30.0,29.0,37.0,30.0,42.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-04 17:14:56.624098,38.0,20.0,32.0,39.0,30.0,36.0,27.0,46.0,36.0,29.0,33.0,30.0,29.0,38.0,30.0,42.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-04 17:15:13.052823,38.0,22.0,32.0,39.0,30.0,36.0,27.0,46.0,36.0,30.0,33.0,30.0,29.0,37.0,29.0,43.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-04 17:15:24.408064,38.0,22.0,31.0,39.0,30.0,36.0,27.0,46.0,36.0,31.0,32.0,30.0,29.0,38.0,29.0,43.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-04 17:15:40.826080,38.0,23.0,31.0,40.0,30.0,36.0,27.0,46.0,36.0,30.0,32.0,29.0,29.0,38.0,29.0,43.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-04 17:15:49.674671,38.0,23.0,31.0,40.0,30.0,37.0,27.0,46.0,36.0,30.0,32.0,29.0,29.0,38.0,29.0,43.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-04 17:15:55.970171,38.0,22.0,31.0,40.0,30.0,37.0,27.0,46.0,36.0,30.0,32.0,30.0,29.0,38.0,29.0,43.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-04 17:16:02.315373,38.0,22.0,31.0,40.0,30.0,37.0,27.0,46.0,36.0,30.0,33.0,31.0,29.0,38.0,29.0,43.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-04 17:16:13.660892,38.0,22.0,32.0,40.0,30.0,37.0,27.0,46.0,36.0,31.0,33.0,31.0,29.0,37.0,30.0,43.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-04 17:16:22.560915,38.0,22.0,31.0,40.0,30.0,37.0,27.0,46.0,36.0,30.0,33.0,31.0,29.0,38.0,30.0,43.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-04 17:16:28.855667,38.0,22.0,32.0,40.0,30.0,36.0,27.0,46.0,36.0,30.0,33.0,30.0,29.0,38.0,30.0,43.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-04 17:16:40.202758,38.0,22.0,32.0,40.0,30.0,36.0,27.0,46.0,36.0,30.0,33.0,30.0,29.0,38.0,30.0,43.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-04 17:16:54.086641,38.0,22.0,32.0,40.0,30.0,36.0,27.0,46.0,36.0,30.0,33.0,30.0,29.0,37.0,30.0,42.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-04 17:17:05.447885,38.0,22.0,32.0,40.0,30.0,36.0,27.0,46.0,36.0,30.0,33.0,30.0,29.0,37.0,30.0,42.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-04 17:17:14.292524,38.0,22.0,32.0,40.0,30.0,35.0,27.0,46.0,36.0,30.0,33.0,30.0,29.0,37.0,30.0,42.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-04 17:17:20.586520,38.0,22.0,32.0,40.0,30.0,36.0,27.0,46.0,36.0,30.0,33.0,30.0,29.0,37.0,30.0,42.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-04 17:17:26.895169,38.0,22.0,32.0,40.0,30.0,36.0,27.0,46.0,36.0,30.0,33.0,30.0,29.0,37.0,30.0,42.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-04 17:17:33.205146,38.0,21.0,32.0,40.0,30.0,36.0,27.0,46.0,36.0,29.0,33.0,30.0,29.0,37.0,30.0,42.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-04 17:17:44.557252,38.0,21.0,32.0,40.0,30.0,35.0,27.0,46.0,36.0,29.0,33.0,30.0,29.0,37.0,30.0,42.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-04 17:17:55.911208,38.0,21.0,32.0,39.0,30.0,35.0,27.0,46.0,36.0,29.0,33.0,30.0,29.0,37.0,30.0,42.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-04 17:18:07.268349,38.0,21.0,32.0,39.0,30.0,35.0,27.0,46.0,36.0,30.0,33.0,30.0,29.0,37.0,30.0,42.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-04 17:18:21.153849,38.0,21.0,32.0,39.0,30.0,35.0,27.0,46.0,37.0,29.0,33.0,30.0,29.0,37.0,30.0,42.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-04 17:18:29.993224,38.0,21.0,32.0,39.0,30.0,35.0,27.0,46.0,36.0,29.0,33.0,30.0,29.0,37.0,30.0,42.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-04 17:18:38.825334,38.0,21.0,32.0,39.0,30.0,35.0,27.0,46.0,36.0,29.0,33.0,30.0,29.0,37.0,30.0,42.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-04 17:18:45.122068,38.0,21.0,32.0,39.0,31.0,36.0,27.0,46.0,37.0,29.0,33.0,29.0,29.0,37.0,30.0,42.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-04 17:18:53.961237,38.0,21.0,32.0,39.0,30.0,35.0,27.0,46.0,37.0,30.0,33.0,29.0,29.0,37.0,30.0,42.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-04 17:19:00.258586,38.0,20.0,32.0,39.0,31.0,36.0,27.0,46.0,37.0,30.0,33.0,29.0,29.0,37.0,30.0,42.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-04 17:19:11.607818,38.0,20.0,32.0,39.0,31.0,36.0,27.0,46.0,37.0,28.0,33.0,29.0,29.0,37.0,30.0,42.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-04 17:19:30.554927,38.0,20.0,32.0,39.0,31.0,36.0,27.0,46.0,37.0,28.0,33.0,29.0,29.0,37.0,30.0,42.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-04 17:19:41.913581,38.0,21.0,32.0,38.0,31.0,36.0,27.0,46.0,37.0,28.0,33.0,29.0,29.0,37.0,30.0,42.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-04 17:19:50.736102,38.0,20.0,32.0,38.0,31.0,36.0,27.0,46.0,37.0,28.0,33.0,29.0,29.0,37.0,30.0,42.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-04 17:20:04.610155,38.0,21.0,32.0,38.0,31.0,36.0,27.0,46.0,37.0,29.0,33.0,29.0,29.0,36.0,30.0,42.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-04 17:20:13.440782,38.0,21.0,32.0,39.0,31.0,36.0,27.0,45.0,37.0,29.0,33.0,29.0,29.0,36.0,30.0,42.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-04 17:20:22.263041,37.0,21.0,32.0,39.0,31.0,36.0,27.0,46.0,37.0,29.0,33.0,29.0,29.0,36.0,30.0,42.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-04 17:20:36.140415,36.0,21.0,32.0,39.0,31.0,36.0,27.0,45.0,37.0,29.0,33.0,29.0,29.0,36.0,30.0,42.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-04 17:20:44.964960,36.0,21.0,32.0,39.0,31.0,36.0,27.0,46.0,37.0,29.0,33.0,29.0,29.0,36.0,30.0,42.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-04 17:20:53.795616,36.0,21.0,32.0,39.0,31.0,36.0,27.0,46.0,37.0,29.0,33.0,29.0,29.0,36.0,30.0,42.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-04 17:21:05.189516,36.0,21.0,32.0,39.0,31.0,36.0,27.0,45.0,37.0,28.0,33.0,29.0,29.0,36.0,30.0,41.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-04 17:21:14.019704,35.0,21.0,32.0,39.0,31.0,36.0,27.0,46.0,37.0,28.0,33.0,29.0,29.0,36.0,30.0,41.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-04 17:21:22.856592,35.0,21.0,32.0,39.0,31.0,36.0,27.0,45.0,37.0,28.0,33.0,29.0,29.0,36.0,30.0,42.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-04 17:21:31.679489,33.0,21.0,32.0,39.0,31.0,36.0,27.0,45.0,37.0,28.0,33.0,29.0,29.0,36.0,30.0,42.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-04 17:21:37.964310,33.0,20.0,32.0,39.0,31.0,36.0,27.0,45.0,37.0,28.0,33.0,29.0,29.0,36.0,30.0,42.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-04 17:21:44.311509,33.0,20.0,32.0,38.0,31.0,36.0,27.0,46.0,37.0,28.0,33.0,29.0,29.0,36.0,30.0,41.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-04 17:21:53.132426,33.0,20.0,32.0,39.0,31.0,36.0,27.0,46.0,37.0,28.0,33.0,29.0,29.0,36.0,30.0,42.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-04 17:22:12.085325,31.0,30.0,32.0,38.0,31.0,36.0,27.0,46.0,37.0,29.0,33.0,29.0,29.0,36.0,30.0,42.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-04 17:22:20.905148,29.0,31.0,32.0,39.0,30.0,35.0,27.0,46.0,36.0,29.0,33.0,29.0,29.0,36.0,30.0,42.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-04 17:22:29.719910,29.0,33.0,32.0,39.0,30.0,35.0,27.0,46.0,36.0,30.0,33.0,30.0,29.0,37.0,30.0,42.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-04 17:22:38.533419,28.0,34.0,32.0,39.0,30.0,35.0,27.0,46.0,36.0,31.0,32.0,29.0,29.0,37.0,29.0,42.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-04 17:22:49.888956,26.0,37.0,31.0,39.0,30.0,35.0,27.0,46.0,36.0,31.0,32.0,30.0,29.0,37.0,29.0,42.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-04 17:22:56.184261,25.0,39.0,31.0,40.0,30.0,35.0,27.0,46.0,36.0,31.0,32.0,30.0,29.0,37.0,29.0,42.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-04 17:23:02.479121,25.0,41.0,31.0,40.0,30.0,36.0,27.0,46.0,35.0,31.0,32.0,30.0,28.0,37.0,29.0,42.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-04 17:23:11.297600,24.0,42.0,31.0,40.0,30.0,36.0,27.0,46.0,35.0,31.0,32.0,30.0,28.0,37.0,29.0,43.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-04 17:23:20.125896,24.0,44.0,31.0,40.0,29.0,36.0,27.0,46.0,35.0,31.0,32.0,30.0,28.0,37.0,29.0,43.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-04 17:23:26.415490,24.0,46.0,31.0,41.0,29.0,36.0,27.0,46.0,35.0,31.0,32.0,31.0,28.0,37.0,29.0,43.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
