TIME,OUT_T[*C],OUT_H[%],T6[*C],H6[%],T12[*C],H12[%],T18[*C],H18[%],T19[*C],H19[%],T24[*C],H24[%],T25[*C],H25[%],T26[*C],H26[%],LAMP_STATE,FAN_STATE,AC_STATE,HEATER_STATE
2020-02-04 11:03:22.147547,31.0,30.0,28.0,41.0,26.0,37.0,24.0,45.0,30.0,33.0,27.0,34.0,25.0,37.0,26.0,41.0,0,0,0,0
2020-02-04 11:03:28.463651,22.0,54.0,23.0,52.0,22.0,47.0,22.0,51.0,24.0,43.0,22.0,49.0,22.0,50.0,22.0,49.0,0,0,0,0
2020-02-04 11:03:37.299526,22.0,53.0,23.0,51.0,22.0,44.0,22.0,51.0,24.0,43.0,22.0,48.0,22.0,50.0,22.0,48.0,0,0,0,0
2020-02-04 11:03:43.588531,22.0,53.0,23.0,52.0,22.0,44.0,22.0,51.0,24.0,43.0,22.0,48.0,22.0,50.0,22.0,49.0,1,0,0,0
2020-02-04 11:03:49.898573,22.0,53.0,24.0,52.0,22.0,44.0,22.0,51.0,24.0,43.0,22.0,48.0,22.0,50.0,22.0,48.0,1,0,0,0
2020-02-04 11:03:58.722554,22.0,53.0,24.0,51.0,22.0,44.0,22.0,51.0,24.0,43.0,22.0,48.0,22.0,50.0,22.0,48.0,1,0,0,0
2020-02-04 11:04:07.556996,22.0,52.0,24.0,51.0,22.0,43.0,22.0,50.0,24.0,43.0,22.0,47.0,22.0,49.0,22.0,48.0,1,0,0,0
2020-02-04 11:04:21.446876,23.0,51.0,24.0,51.0,22.0,46.0,22.0,47.0,25.0,42.0,23.0,47.0,22.0,48.0,23.0,47.0,1,0,0,0
2020-02-04 11:04:32.813643,24.0,49.0,24.0,51.0,23.0,45.0,22.0,50.0,25.0,42.0,23.0,47.0,22.0,48.0,23.0,47.0,1,0,0,0
2020-02-04 11:04:41.657042,24.0,48.0,24.0,50.0,23.0,45.0,22.0,50.0,25.0,41.0,23.0,46.0,22.0,48.0,23.0,47.0,1,0,0,0
2020-02-04 11:04:47.979977,24.0,48.0,24.0,49.0,23.0,42.0,22.0,50.0,26.0,41.0,23.0,45.0,23.0,47.0,23.0,47.0,1,0,0,0
2020-02-04 11:04:56.842724,25.0,46.0,24.0,49.0,23.0,42.0,22.0,50.0,26.0,41.0,23.0,44.0,23.0,47.0,23.0,46.0,1,0,0,0
2020-02-04 11:05:08.200525,25.0,46.0,25.0,49.0,23.0,44.0,22.0,50.0,26.0,40.0,23.0,44.0,23.0,47.0,23.0,46.0,1,0,0,0
2020-02-04 11:05:17.055859,25.0,45.0,25.0,48.0,23.0,44.0,22.0,50.0,26.0,40.0,24.0,43.0,23.0,47.0,23.0,46.0,1,0,0,0
2020-02-04 11:05:25.919687,25.0,44.0,25.0,48.0,23.0,43.0,22.0,49.0,26.0,40.0,24.0,43.0,23.0,46.0,23.0,45.0,1,0,0,0
2020-02-04 11:05:32.216226,26.0,43.0,25.0,48.0,24.0,43.0,23.0,49.0,27.0,39.0,24.0,43.0,23.0,46.0,23.0,45.0,1,0,0,0
2020-02-04 11:05:46.109541,26.0,43.0,25.0,47.0,24.0,43.0,23.0,46.0,27.0,39.0,24.0,42.0,23.0,46.0,24.0,45.0,0,1,0,0
2020-02-04 11:05:52.554174,27.0,41.0,25.0,47.0,24.0,43.0,23.0,49.0,27.0,39.0,24.0,42.0,23.0,45.0,24.0,45.0,0,1,0,0
2020-02-04 11:06:01.434442,25.0,41.0,25.0,47.0,24.0,40.0,23.0,49.0,27.0,38.0,24.0,42.0,23.0,45.0,24.0,45.0,0,1,0,0
2020-02-04 11:06:12.817385,25.0,42.0,25.0,47.0,24.0,42.0,23.0,49.0,27.0,38.0,24.0,42.0,23.0,45.0,24.0,45.0,0,1,0,0
2020-02-04 11:06:21.637915,24.0,44.0,25.0,47.0,24.0,42.0,23.0,49.0,27.0,38.0,24.0,42.0,23.0,45.0,24.0,45.0,0,1,0,0
2020-02-04 11:06:38.053950,23.0,49.0,25.0,47.0,24.0,43.0,23.0,46.0,27.0,38.0,24.0,43.0,23.0,45.0,24.0,45.0,0,1,0,0
2020-02-04 11:06:46.918976,23.0,49.0,25.0,47.0,24.0,43.0,23.0,49.0,27.0,39.0,24.0,43.0,23.0,46.0,24.0,45.0,1,0,0,0
2020-02-04 11:06:53.205000,22.0,50.0,25.0,47.0,24.0,40.0,22.0,49.0,27.0,39.0,24.0,43.0,23.0,46.0,24.0,45.0,1,0,0,0
2020-02-04 11:06:59.493629,23.0,50.0,25.0,47.0,24.0,40.0,23.0,49.0,27.0,38.0,24.0,43.0,23.0,46.0,24.0,45.0,1,0,0,0
