TIME,OUT_T[*C],OUT_H[%],T6[*C],H6[%],T12[*C],H12[%],T18[*C],H18[%],T19[*C],H19[%],T24[*C],H24[%],T25[*C],H25[%],T26[*C],H26[%],LAMP_STATE,FAN_STATE,AC_STATE,HEATER_STATE,M0,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10,M11,M12,M13,M14H
2020-02-04 16:38:39.678646,22.0,52.0,24.0,51.0,23.0,42.0,23.0,50.0,26.0,42.0,23.0,45.0,23.0,49.0,23.0,48.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-04 16:38:48.503734,22.0,53.0,25.0,51.0,23.0,45.0,23.0,50.0,26.0,42.0,23.0,46.0,23.0,49.0,23.0,48.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-04 16:38:59.880437,22.0,52.0,24.0,51.0,24.0,45.0,23.0,50.0,26.0,41.0,24.0,45.0,23.0,48.0,23.0,48.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-04 16:39:13.772688,23.0,51.0,25.0,51.0,24.0,42.0,23.0,50.0,26.0,41.0,24.0,45.0,23.0,48.0,23.0,48.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-04 16:39:22.594745,23.0,50.0,25.0,50.0,24.0,44.0,23.0,49.0,26.0,41.0,24.0,44.0,23.0,48.0,23.0,47.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-04 16:39:28.876413,24.0,50.0,25.0,50.0,24.0,44.0,23.0,49.0,27.0,40.0,24.0,43.0,23.0,47.0,24.0,47.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-04 16:39:40.263042,24.0,49.0,25.0,50.0,24.0,43.0,23.0,49.0,27.0,40.0,24.0,43.0,23.0,47.0,24.0,47.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-04 16:39:51.619652,24.0,48.0,25.0,49.0,24.0,41.0,23.0,49.0,27.0,39.0,24.0,43.0,23.0,46.0,24.0,47.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-04 16:39:57.922089,25.0,46.0,25.0,48.0,24.0,43.0,23.0,49.0,27.0,38.0,24.0,42.0,24.0,46.0,24.0,46.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-04 16:40:09.301389,25.0,46.0,26.0,49.0,24.0,40.0,23.0,49.0,27.0,38.0,25.0,42.0,24.0,46.0,24.0,46.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-04 16:40:15.587811,25.0,44.0,26.0,49.0,25.0,42.0,23.0,49.0,28.0,39.0,25.0,41.0,24.0,45.0,24.0,46.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-04 16:40:21.887769,26.0,44.0,26.0,48.0,25.0,42.0,24.0,49.0,28.0,39.0,25.0,40.0,24.0,45.0,24.0,45.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-04 16:40:38.298980,26.0,44.0,26.0,48.0,25.0,42.0,24.0,48.0,28.0,38.0,25.0,40.0,24.0,45.0,24.0,45.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-04 16:40:44.578461,27.0,42.0,26.0,48.0,25.0,41.0,24.0,48.0,28.0,37.0,25.0,40.0,24.0,44.0,24.0,45.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-04 16:40:53.394506,27.0,42.0,26.0,47.0,25.0,41.0,24.0,48.0,28.0,37.0,26.0,40.0,24.0,44.0,25.0,44.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-04 16:41:04.801857,27.0,41.0,26.0,47.0,25.0,41.0,24.0,48.0,28.0,37.0,26.0,40.0,24.0,44.0,25.0,44.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-04 16:41:11.098884,27.0,40.0,27.0,47.0,25.0,41.0,24.0,48.0,29.0,38.0,26.0,39.0,24.0,43.0,25.0,44.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-04 16:41:19.946398,28.0,40.0,27.0,46.0,25.0,40.0,24.0,48.0,29.0,37.0,26.0,39.0,24.0,43.0,25.0,44.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-04 16:41:26.245002,28.0,39.0,27.0,46.0,26.0,41.0,24.0,48.0,29.0,37.0,26.0,39.0,25.0,43.0,25.0,44.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-04 16:41:32.551414,28.0,39.0,27.0,45.0,26.0,41.0,24.0,48.0,29.0,37.0,26.0,39.0,25.0,43.0,25.0,43.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-04 16:41:46.433515,28.0,38.0,27.0,45.0,26.0,40.0,24.0,48.0,29.0,36.0,26.0,39.0,25.0,42.0,25.0,43.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-04 16:41:55.259968,29.0,38.0,27.0,45.0,26.0,38.0,24.0,48.0,29.0,36.0,26.0,38.0,25.0,42.0,25.0,43.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
