TIME,OUT_T[*C],OUT_H[%],T6[*C],H6[%],T12[*C],H12[%],T18[*C],H18[%],T19[*C],H19[%],T24[*C],H24[%],T25[*C],H25[%],T26[*C],H26[%],LAMP_STATE,FAN_STATE,AC_STATE,HEATER_STATE,M0,M1,M2,M3,M4,M5,M6,M8,M9,M10,M11,M12,M13,M14,M15
2020-02-05 12:32:16.257270,23.0,55.0,24.0,57.0,23.0,54.0,22.0,55.0,25.0,48.0,22.0,54.0,22.0,55.0,23.0,54.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-05 12:32:27.667367,23.0,55.0,24.0,57.0,23.0,54.0,22.0,55.0,24.0,48.0,22.0,53.0,22.0,55.0,23.0,53.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-05 12:32:56.738695,23.0,55.0,24.0,56.0,22.0,54.0,22.0,55.0,25.0,48.0,22.0,53.0,22.0,55.0,23.0,53.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TIME,OUT_T[*C],OUT_H[%],T6[*C],H6[%],T12[*C],H12[%],T18[*C],H18[%],T19[*C],H19[%],T24[*C],H24[%],T25[*C],H25[%],T26[*C],H26[%],LAMP_STATE,FAN_STATE,AC_STATE,HEATER_STATE,M0,M1,M2,M3,M4,M5,M6,M8,M9,M10,M11,M12,M13,M14,M15
2020-02-05 12:36:56.491602,23.0,55.0,24.0,56.0,23.0,54.0,22.0,55.0,25.0,47.0,22.0,53.0,22.0,54.0,23.0,53.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TIME,OUT_T[*C],OUT_H[%],T6[*C],H6[%],T12[*C],H12[%],T18[*C],H18[%],T19[*C],H19[%],T24[*C],H24[%],T25[*C],H25[%],T26[*C],H26[%],LAMP_STATE,FAN_STATE,AC_STATE,HEATER_STATE,M0,M1,M2,M3,M4,M5,M6,M8,M9,M10,M11,M12,M13,M14,M15
2020-02-05 13:02:34.709556,23.0,55.0,24.0,56.0,23.0,53.0,22.0,55.0,25.0,45.0,22.0,53.0,22.0,54.0,23.0,53.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-05 13:03:03.795833,23.0,55.0,24.0,55.0,23.0,53.0,22.0,55.0,25.0,45.0,22.0,52.0,22.0,54.0,23.0,52.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-05 13:03:17.759575,23.0,54.0,24.0,55.0,23.0,53.0,23.0,55.0,25.0,45.0,22.0,52.0,22.0,54.0,23.0,52.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-05 13:03:29.111350,23.0,54.0,24.0,55.0,23.0,53.0,23.0,54.0,25.0,45.0,22.0,52.0,22.0,54.0,23.0,52.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-05 13:03:45.523806,23.0,54.0,24.0,55.0,23.0,53.0,23.0,54.0,25.0,45.0,22.0,52.0,22.0,54.0,23.0,52.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-05 13:04:01.956890,23.0,54.0,24.0,55.0,23.0,53.0,23.0,54.0,25.0,45.0,23.0,52.0,22.0,54.0,23.0,52.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-05 13:04:10.794725,23.0,54.0,24.0,55.0,23.0,53.0,23.0,54.0,25.0,45.0,22.0,52.0,23.0,53.0,23.0,52.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-05 13:04:27.230753,23.0,54.0,24.0,55.0,23.0,53.0,23.0,54.0,25.0,45.0,23.0,52.0,22.0,53.0,23.0,52.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-05 13:04:36.055466,23.0,55.0,24.0,55.0,23.0,53.0,23.0,54.0,25.0,45.0,22.0,52.0,22.0,53.0,23.0,52.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-05 13:04:47.407018,23.0,54.0,24.0,55.0,23.0,53.0,23.0,54.0,25.0,45.0,22.0,52.0,22.0,53.0,23.0,51.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
