TIME,OUT_T[*C],OUT_H[%],T6[*C],H6[%],T12[*C],H12[%],T18[*C],H18[%],T19[*C],H19[%],T24[*C],H24[%],T25[*C],H25[%],T26[*C],H26[%],LAMP_STATE,FAN_STATE,AC_STATE,HEATER_STATE,M0,M1,M2,M3,M4,M5,M6,M8,M9,M10,M11,M12,M13,M14,M15
2020-02-06 10:39:41.949395,22.0,55.0,30.0,41.0,28.0,42.0,26.0,48.0,31.0,36.0,28.0,35.0,26.0,41.0,27.0,46.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-06 10:39:48.255039,23.0,51.0,29.0,43.0,27.0,42.0,25.0,48.0,30.0,36.0,28.0,37.0,26.0,43.0,26.0,47.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-06 10:39:54.547390,23.0,51.0,29.0,43.0,27.0,42.0,26.0,49.0,30.0,36.0,28.0,37.0,26.0,43.0,27.0,47.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-06 10:40:05.906464,23.0,51.0,29.0,43.0,27.0,42.0,26.0,49.0,30.0,36.0,28.0,37.0,26.0,43.0,27.0,47.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-06 10:40:12.213480,23.0,51.0,29.0,43.0,27.0,42.0,26.0,49.0,30.0,36.0,28.0,37.0,26.0,43.0,27.0,47.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-06 10:40:21.040875,23.0,50.0,29.0,43.0,27.0,42.0,26.0,49.0,30.0,36.0,28.0,37.0,26.0,42.0,27.0,47.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-06 10:40:27.340761,24.0,49.0,29.0,43.0,27.0,42.0,26.0,49.0,31.0,36.0,28.0,37.0,26.0,42.0,27.0,47.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-06 10:40:33.645901,24.0,48.0,29.0,43.0,27.0,42.0,26.0,48.0,31.0,36.0,28.0,36.0,26.0,42.0,27.0,47.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-06 10:40:42.467610,24.0,47.0,29.0,43.0,27.0,41.0,26.0,48.0,31.0,36.0,28.0,36.0,26.0,42.0,27.0,46.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-06 10:40:51.290465,25.0,46.0,29.0,42.0,28.0,42.0,26.0,48.0,31.0,35.0,28.0,36.0,26.0,41.0,27.0,46.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-06 10:41:02.642611,25.0,45.0,29.0,42.0,28.0,42.0,26.0,48.0,31.0,35.0,29.0,36.0,26.0,41.0,27.0,46.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-06 10:41:08.937916,26.0,44.0,30.0,42.0,28.0,41.0,26.0,48.0,31.0,34.0,29.0,36.0,26.0,41.0,27.0,45.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-06 10:41:17.783402,26.0,43.0,30.0,41.0,28.0,41.0,26.0,48.0,32.0,34.0,29.0,36.0,27.0,41.0,27.0,45.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-06 10:41:24.072410,27.0,42.0,30.0,41.0,28.0,41.0,26.0,48.0,32.0,34.0,29.0,36.0,27.0,40.0,27.0,45.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-06 10:41:30.372079,27.0,41.0,30.0,41.0,28.0,41.0,26.0,48.0,32.0,34.0,29.0,35.0,27.0,40.0,27.0,45.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-06 10:41:39.193919,27.0,40.0,30.0,41.0,28.0,40.0,26.0,48.0,32.0,33.0,29.0,35.0,27.0,40.0,28.0,45.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-06 10:41:50.587438,28.0,40.0,30.0,40.0,28.0,40.0,26.0,48.0,32.0,33.0,29.0,35.0,27.0,40.0,28.0,45.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-06 10:42:01.948883,28.0,40.0,30.0,40.0,28.0,40.0,26.0,48.0,32.0,32.0,29.0,34.0,27.0,39.0,28.0,45.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-06 10:42:08.238177,28.0,38.0,30.0,40.0,28.0,40.0,26.0,48.0,33.0,33.0,29.0,34.0,27.0,39.0,28.0,45.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
