TIME,OUT_T[*C],OUT_H[%],T6[*C],H6[%],T12[*C],H12[%],T18[*C],H18[%],T19[*C],H19[%],T24[*C],H24[%],T25[*C],H25[%],T26[*C],H26[%],LAMP_STATE,FAN_STATE,AC_STATE,HEATER_STATE,M0,M1,M2,M3,M4,M5,M6,M8,M9,M10,M11,M12,M13,M14,M15
2020-02-06 13:29:05.559676,40.0,18.0,26.0,48.0,32.0,37.0,28.0,48.0,38.0,26.0,34.0,27.0,30.0,35.0,31.0,41.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-06 13:29:14.398150,23.0,52.0,26.0,48.0,24.0,45.0,24.0,49.0,26.0,40.0,24.0,41.0,24.0,45.0,24.0,49.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-06 13:29:25.755967,23.0,52.0,26.0,48.0,24.0,44.0,24.0,49.0,26.0,41.0,25.0,41.0,24.0,45.0,24.0,49.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-06 13:29:32.056452,23.0,52.0,26.0,48.0,24.0,44.0,24.0,49.0,26.0,40.0,25.0,41.0,24.0,45.0,24.0,48.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-06 13:29:43.427829,23.0,51.0,26.0,48.0,24.0,44.0,24.0,49.0,27.0,40.0,25.0,41.0,24.0,45.0,24.0,48.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-06 13:29:54.798253,23.0,51.0,26.0,47.0,24.0,44.0,24.0,48.0,27.0,39.0,25.0,41.0,24.0,44.0,24.0,48.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-06 13:30:06.165633,24.0,50.0,26.0,47.0,25.0,44.0,24.0,49.0,27.0,39.0,25.0,40.0,24.0,44.0,24.0,48.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-06 13:30:14.991185,24.0,49.0,26.0,46.0,25.0,43.0,24.0,48.0,27.0,39.0,25.0,39.0,24.0,43.0,24.0,47.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-06 13:30:31.406682,25.0,46.0,27.0,46.0,25.0,43.0,24.0,48.0,28.0,40.0,26.0,39.0,24.0,43.0,24.0,47.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-06 13:30:45.292037,25.0,45.0,27.0,46.0,25.0,42.0,24.0,48.0,28.0,39.0,26.0,39.0,25.0,43.0,25.0,47.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-06 13:30:56.649795,26.0,45.0,27.0,45.0,25.0,42.0,24.0,48.0,28.0,38.0,26.0,39.0,25.0,42.0,25.0,46.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-06 13:31:02.986556,26.0,44.0,27.0,45.0,25.0,42.0,24.0,48.0,28.0,37.0,26.0,38.0,25.0,42.0,25.0,46.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-06 13:31:09.291304,27.0,43.0,27.0,45.0,26.0,42.0,24.0,48.0,29.0,38.0,26.0,38.0,25.0,42.0,25.0,46.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-06 13:31:18.142611,27.0,42.0,27.0,44.0,26.0,42.0,24.0,48.0,29.0,38.0,26.0,38.0,25.0,42.0,25.0,46.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-06 13:31:26.973661,27.0,41.0,27.0,44.0,26.0,42.0,24.0,48.0,29.0,38.0,27.0,38.0,25.0,41.0,25.0,45.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-06 13:31:33.275348,27.0,40.0,27.0,44.0,26.0,42.0,24.0,48.0,29.0,37.0,27.0,37.0,25.0,41.0,25.0,45.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-06 13:31:42.123295,28.0,41.0,27.0,44.0,26.0,41.0,24.0,48.0,29.0,37.0,27.0,37.0,25.0,41.0,25.0,44.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-06 13:31:56.007402,28.0,40.0,27.0,44.0,26.0,41.0,24.0,47.0,29.0,36.0,27.0,37.0,25.0,41.0,26.0,46.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-06 13:32:02.350328,28.0,39.0,28.0,44.0,26.0,41.0,24.0,47.0,29.0,36.0,27.0,36.0,25.0,40.0,26.0,45.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-06 13:32:08.662806,29.0,39.0,28.0,44.0,27.0,40.0,24.0,47.0,30.0,35.0,27.0,36.0,26.0,41.0,26.0,45.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-06 13:32:20.020315,29.0,39.0,28.0,44.0,26.0,40.0,24.0,47.0,30.0,35.0,27.0,36.0,26.0,41.0,26.0,45.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-06 13:32:26.332722,29.0,37.0,28.0,43.0,27.0,40.0,24.0,47.0,30.0,35.0,27.0,36.0,26.0,41.0,26.0,45.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-06 13:32:40.216619,29.0,37.0,28.0,43.0,27.0,40.0,25.0,47.0,30.0,35.0,27.0,35.0,26.0,40.0,26.0,44.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-06 13:32:54.101236,30.0,34.0,28.0,43.0,27.0,40.0,25.0,47.0,30.0,34.0,28.0,36.0,26.0,40.0,26.0,44.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-06 13:33:02.945700,30.0,34.0,28.0,43.0,27.0,39.0,25.0,47.0,30.0,34.0,28.0,35.0,26.0,40.0,26.0,44.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
