TIME,OUT_T[*C],OUT_H[%],T6[*C],H6[%],T12[*C],H12[%],T18[*C],H18[%],T19[*C],H19[%],T24[*C],H24[%],T25[*C],H25[%],T26[*C],H26[%],LAMP_STATE,FAN_STATE,AC_STATE,HEATER_STATE,M0,M1,M2,M3,M4,M5,M6,M8,M9,M10,M11,M12,M13,M14,M15
2020-02-06 18:12:28.520849,22.0,54.0,24.0,55.0,23.0,48.0,23.0,54.0,25.0,46.0,23.0,49.0,22.0,52.0,23.0,53.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-06 18:12:37.389688,22.0,54.0,24.0,54.0,23.0,46.0,23.0,53.0,25.0,44.0,23.0,49.0,22.0,52.0,23.0,52.0,1,1,1,0,0,0,1,0,1,0,1,1,0,0,1,0,0,0,1
2020-02-06 18:12:46.225163,23.0,54.0,24.0,53.0,23.0,48.0,23.0,53.0,25.0,44.0,23.0,49.0,22.0,52.0,23.0,51.0,1,1,1,0,0,0,1,0,1,0,1,1,0,0,1,0,0,0,1
2020-02-06 18:13:02.638063,23.0,54.0,25.0,53.0,23.0,48.0,23.0,52.0,25.0,43.0,23.0,48.0,23.0,51.0,23.0,51.0,1,1,1,0,0,0,1,0,1,0,1,1,0,0,1,0,0,0,1
2020-02-06 18:13:13.992434,23.0,53.0,25.0,53.0,23.0,47.0,23.0,52.0,26.0,44.0,23.0,48.0,23.0,50.0,23.0,51.0,1,1,1,0,0,0,1,0,1,0,1,1,0,0,1,0,0,0,1
2020-02-06 18:13:22.812709,23.0,52.0,25.0,53.0,24.0,47.0,23.0,52.0,26.0,43.0,24.0,47.0,23.0,50.0,23.0,50.0,1,1,1,0,0,0,1,0,1,0,1,1,0,0,1,0,0,0,1
2020-02-06 18:13:34.225735,23.0,52.0,25.0,53.0,24.0,44.0,23.0,52.0,26.0,43.0,24.0,46.0,23.0,49.0,23.0,50.0,1,0,0,0,1,1,1,0,0,1,0,1,1,0,0,0,1,0,0
2020-02-06 18:13:43.056341,23.0,51.0,25.0,52.0,24.0,46.0,23.0,52.0,27.0,42.0,24.0,45.0,23.0,49.0,24.0,49.0,1,0,0,0,1,1,1,0,0,1,0,1,1,0,0,0,1,0,0
2020-02-06 18:13:56.925715,24.0,50.0,25.0,52.0,24.0,46.0,23.0,52.0,27.0,41.0,24.0,45.0,23.0,48.0,24.0,49.0,1,0,0,0,1,1,1,0,0,1,0,1,1,0,0,0,1,0,0
2020-02-06 18:14:05.753797,24.0,50.0,25.0,51.0,24.0,45.0,23.0,51.0,27.0,41.0,24.0,44.0,24.0,48.0,24.0,49.0,1,0,0,0,1,1,1,0,0,1,0,1,1,0,0,0,1,0,0
2020-02-06 18:14:14.588357,24.0,49.0,26.0,52.0,24.0,42.0,23.0,51.0,27.0,40.0,24.0,44.0,24.0,48.0,24.0,48.0,1,0,0,0,1,1,1,0,0,1,0,1,1,0,0,0,1,0,0
2020-02-06 18:14:23.505074,25.0,48.0,26.0,51.0,24.0,45.0,23.0,51.0,27.0,40.0,24.0,44.0,24.0,47.0,24.0,48.0,1,0,0,0,1,1,1,0,0,1,0,1,1,0,0,0,1,0,0
2020-02-06 18:14:32.325036,26.0,47.0,26.0,51.0,24.0,44.0,23.0,51.0,28.0,40.0,25.0,43.0,24.0,47.0,24.0,47.0,1,0,1,1,1,0,1,1,0,1,0,0,0,0,0,1,0,1,1
