TIME,OUT_T[*K],OUT_H[%],T6[*K],H6[%],T12[*K],H12[%],T18[*K],H18[%],T19[*K],H19[%],T24[*K],H24[%],T25[*K],H25[%],T26[*K],H26[%],LAMP_STATE,FAN_STATE,AC_STATE,HEATER_STATE
2020-01-25 21:01:43.067660,22.0,40.0,23.0,49.0,23.0,47.0,22.0,51.0,24.0,42.0,22.0,43.0,22.0,46.0,22.0,49.0,0,0,0,0
2020-01-25 21:02:34.293980,22.0,41.0,23.0,49.0,22.0,47.0,22.0,47.0,24.0,42.0,22.0,42.0,22.0,46.0,22.0,49.0,0,0,0,0
2020-01-25 21:03:35.129048,22.0,41.0,23.0,49.0,22.0,47.0,22.0,47.0,24.0,42.0,22.0,41.0,22.0,46.0,22.0,49.0,0,0,0,0
2020-01-25 21:04:19.789565,22.0,41.0,23.0,49.0,22.0,47.0,22.0,51.0,24.0,42.0,22.0,42.0,22.0,46.0,22.0,49.0,0,0,0,0
2020-01-25 21:05:06.430732,22.0,41.0,23.0,49.0,23.0,44.0,22.0,47.0,24.0,42.0,22.0,42.0,22.0,46.0,22.0,49.0,0,0,0,0
2020-01-25 21:05:53.595234,22.0,41.0,23.0,49.0,23.0,44.0,22.0,51.0,24.0,41.0,22.0,42.0,22.0,45.0,22.0,49.0,0,0,0,0
2020-01-25 21:06:29.640729,22.0,41.0,23.0,48.0,22.0,47.0,22.0,47.0,24.0,42.0,22.0,43.0,22.0,45.0,22.0,49.0,0,0,0,0
2020-01-25 21:07:10.831943,22.0,41.0,23.0,48.0,22.0,47.0,22.0,51.0,24.0,42.0,22.0,42.0,22.0,45.0,22.0,49.0,0,0,0,0
2020-01-25 21:07:56.065500,22.0,41.0,23.0,49.0,22.0,47.0,22.0,47.0,24.0,42.0,22.0,42.0,22.0,45.0,22.0,49.0,0,0,0,0
2020-01-25 21:08:48.897630,22.0,41.0,23.0,49.0,22.0,47.0,22.0,47.0,24.0,42.0,22.0,42.0,22.0,45.0,22.0,49.0,0,0,0,0
2020-01-25 21:09:34.623320,22.0,41.0,23.0,49.0,22.0,44.0,22.0,51.0,24.0,42.0,22.0,42.0,22.0,45.0,22.0,49.0,0,0,0,0
2020-01-25 21:10:12.275525,22.0,42.0,23.0,48.0,22.0,47.0,22.0,47.0,24.0,42.0,22.0,43.0,22.0,45.0,22.0,49.0,1,0,0,0
2020-01-25 21:11:20.836482,22.0,41.0,23.0,48.0,23.0,47.0,22.0,47.0,24.0,42.0,22.0,42.0,22.0,45.0,22.0,48.0,1,0,0,0
2020-01-25 21:12:04.053015,22.0,41.0,24.0,48.0,23.0,46.0,23.0,46.0,24.0,41.0,23.0,41.0,22.0,44.0,23.0,47.0,1,0,0,0
2020-01-25 21:12:51.810769,23.0,39.0,24.0,47.0,23.0,42.0,23.0,48.0,25.0,40.0,23.0,40.0,23.0,43.0,23.0,47.0,1,0,0,0
2020-01-25 21:13:36.449109,23.0,38.0,24.0,46.0,24.0,44.0,23.0,44.0,25.0,39.0,23.0,38.0,23.0,42.0,23.0,46.0,1,0,0,0
2020-01-25 21:14:18.043420,24.0,34.0,24.0,45.0,24.0,44.0,24.0,42.0,25.0,39.0,24.0,38.0,23.0,41.0,23.0,46.0,1,0,0,0
2020-01-25 21:15:12.323615,25.0,32.0,25.0,45.0,24.0,41.0,24.0,45.0,26.0,39.0,24.0,37.0,24.0,41.0,23.0,46.0,1,0,0,0
2020-01-25 21:16:00.978379,26.0,32.0,25.0,44.0,24.0,43.0,24.0,45.0,26.0,39.0,24.0,36.0,24.0,40.0,24.0,45.0,1,0,0,0
2020-01-25 21:16:46.593473,26.0,32.0,25.0,44.0,25.0,42.0,25.0,45.0,26.0,39.0,25.0,36.0,24.0,40.0,24.0,45.0,1,0,0,0
2020-01-25 21:17:36.287061,27.0,29.0,26.0,44.0,25.0,42.0,25.0,41.0,26.0,38.0,25.0,35.0,24.0,39.0,24.0,45.0,1,0,0,0
2020-01-25 21:18:30.566992,27.0,30.0,26.0,44.0,25.0,41.0,25.0,40.0,27.0,38.0,25.0,34.0,24.0,39.0,24.0,45.0,1,0,0,0
2020-01-25 21:19:24.779887,28.0,30.0,26.0,44.0,26.0,39.0,25.0,44.0,27.0,38.0,25.0,34.0,25.0,39.0,25.0,44.0,1,0,0,0
2020-01-25 21:20:14.440903,28.0,29.0,26.0,44.0,26.0,42.0,25.0,40.0,27.0,38.0,25.0,33.0,25.0,39.0,25.0,44.0,1,0,0,0
2020-01-25 21:21:05.168783,28.0,29.0,26.0,43.0,26.0,38.0,25.0,43.0,27.0,37.0,26.0,34.0,25.0,38.0,25.0,44.0,1,0,0,0
2020-01-25 21:22:06.016159,29.0,29.0,26.0,43.0,26.0,41.0,26.0,44.0,27.0,37.0,26.0,33.0,25.0,38.0,25.0,43.0,1,0,0,0
2020-01-25 21:22:52.182581,29.0,28.0,27.0,43.0,26.0,41.0,26.0,41.0,27.0,37.0,26.0,32.0,25.0,38.0,25.0,43.0,1,0,0,0
2020-01-25 21:23:41.834522,29.0,27.0,27.0,43.0,26.0,38.0,26.0,44.0,28.0,38.0,26.0,32.0,25.0,38.0,25.0,43.0,1,0,0,0
2020-01-25 21:24:28.478170,29.0,27.0,27.0,43.0,27.0,40.0,26.0,44.0,28.0,37.0,26.0,32.0,25.0,37.0,26.0,43.0,1,0,0,0
2020-01-25 21:25:22.754318,29.0,27.0,27.0,43.0,27.0,37.0,26.0,40.0,28.0,37.0,26.0,31.0,25.0,37.0,26.0,43.0,1,0,0,0
2020-01-25 21:26:13.403682,29.0,27.0,27.0,42.0,27.0,37.0,26.0,44.0,28.0,37.0,27.0,31.0,25.0,37.0,26.0,43.0,1,0,0,0
2020-01-25 21:27:06.632570,29.0,27.0,27.0,42.0,27.0,39.0,26.0,43.0,28.0,36.0,27.0,31.0,26.0,37.0,26.0,42.0,1,0,0,0
2020-01-25 21:27:55.746275,29.0,26.0,27.0,42.0,27.0,36.0,26.0,44.0,28.0,36.0,27.0,31.0,26.0,37.0,26.0,42.0,1,0,0,0
2020-01-25 21:28:43.421084,29.0,27.0,27.0,42.0,27.0,36.0,27.0,40.0,28.0,36.0,27.0,31.0,26.0,37.0,26.0,42.0,1,0,0,0
2020-01-25 21:29:27.006560,29.0,27.0,27.0,40.0,27.0,39.0,27.0,43.0,28.0,35.0,27.0,30.0,26.0,37.0,26.0,42.0,1,0,0,0
2020-01-25 21:30:16.126498,29.0,27.0,27.0,41.0,27.0,38.0,27.0,43.0,28.0,35.0,27.0,30.0,26.0,37.0,26.0,41.0,1,0,0,0
2020-01-25 21:30:58.202942,29.0,27.0,27.0,41.0,27.0,39.0,27.0,43.0,28.0,35.0,27.0,30.0,26.0,37.0,26.0,41.0,0,0,0,0
2020-01-25 21:31:41.272778,29.0,27.0,27.0,42.0,27.0,39.0,27.0,44.0,28.0,35.0,27.0,31.0,26.0,37.0,26.0,41.0,0,0,0,0
2020-01-25 21:32:23.371726,28.0,28.0,27.0,42.0,27.0,40.0,26.0,41.0,28.0,37.0,26.0,31.0,25.0,37.0,26.0,43.0,0,0,0,0
2020-01-25 21:33:15.032581,27.0,29.0,27.0,43.0,27.0,41.0,26.0,45.0,27.0,36.0,26.0,32.0,25.0,38.0,26.0,42.0,0,0,0,0
2020-01-25 21:33:59.102166,27.0,30.0,26.0,44.0,26.0,42.0,25.0,45.0,27.0,37.0,26.0,33.0,24.0,39.0,26.0,43.0,0,0,0,0
2020-01-25 21:34:49.794653,27.0,30.0,26.0,43.0,26.0,43.0,25.0,45.0,27.0,37.0,25.0,32.0,24.0,39.0,25.0,43.0,0,0,0,0
2020-01-25 21:35:36.914804,26.0,29.0,26.0,44.0,26.0,43.0,25.0,46.0,27.0,38.0,25.0,33.0,24.0,40.0,25.0,44.0,0,0,0,0
2020-01-25 21:36:22.510106,25.0,31.0,26.0,45.0,25.0,40.0,25.0,46.0,26.0,38.0,25.0,33.0,24.0,40.0,25.0,44.0,0,0,0,0
2020-01-25 21:37:44.635325,25.0,31.0,25.0,45.0,25.0,43.0,25.0,43.0,26.0,39.0,25.0,34.0,24.0,41.0,25.0,44.0,0,0,0,0
2020-01-25 21:38:41.387988,24.0,34.0,25.0,45.0,25.0,44.0,24.0,47.0,26.0,38.0,24.0,34.0,24.0,41.0,24.0,44.0,0,0,0,0
2020-01-25 21:39:34.599281,24.0,34.0,25.0,45.0,25.0,44.0,24.0,44.0,26.0,39.0,24.0,35.0,23.0,41.0,24.0,45.0,0,0,0,0
2020-01-25 21:40:24.247815,24.0,34.0,25.0,46.0,25.0,44.0,24.0,48.0,26.0,40.0,24.0,35.0,23.0,41.0,24.0,45.0,0,0,0,0
2020-01-25 21:41:10.898689,23.0,35.0,25.0,45.0,25.0,44.0,24.0,45.0,26.0,40.0,24.0,36.0,23.0,41.0,24.0,45.0,0,0,0,0
2020-01-25 21:41:56.528799,23.0,36.0,25.0,46.0,24.0,42.0,24.0,45.0,25.0,39.0,24.0,36.0,23.0,41.0,24.0,46.0,0,0,0,0
2020-01-25 21:43:02.407603,23.0,36.0,25.0,46.0,24.0,42.0,24.0,48.0,25.0,39.0,24.0,36.0,23.0,42.0,24.0,46.0,0,0,0,0
2020-01-25 21:43:51.031142,23.0,36.0,24.0,46.0,24.0,42.0,24.0,49.0,25.0,39.0,24.0,36.0,23.0,42.0,24.0,46.0,0,0,0,0
2020-01-25 21:44:36.650428,23.0,37.0,24.0,47.0,24.0,45.0,24.0,49.0,25.0,39.0,24.0,36.0,23.0,42.0,24.0,47.0,0,0,0,0
2020-01-25 21:45:28.372144,23.0,37.0,24.0,47.0,24.0,45.0,24.0,49.0,25.0,40.0,24.0,36.0,23.0,42.0,23.0,47.0,0,0,0,0
2020-01-25 21:46:21.101678,23.0,37.0,24.0,47.0,24.0,42.0,24.0,49.0,25.0,40.0,23.0,37.0,23.0,42.0,23.0,47.0,0,0,0,0
2020-01-25 21:47:16.834763,23.0,37.0,24.0,47.0,24.0,45.0,24.0,46.0,25.0,40.0,23.0,37.0,23.0,43.0,23.0,48.0,0,0,0,0
2020-01-25 21:48:08.059262,23.0,38.0,24.0,47.0,24.0,46.0,24.0,46.0,25.0,40.0,23.0,38.0,23.0,43.0,23.0,48.0,0,0,0,0
2020-01-25 21:49:02.833128,23.0,38.0,24.0,47.0,24.0,46.0,23.0,49.0,25.0,40.0,23.0,38.0,23.0,43.0,23.0,48.0,0,0,0,0
2020-01-25 21:49:50.999786,23.0,38.0,24.0,47.0,24.0,43.0,23.0,49.0,25.0,41.0,23.0,38.0,23.0,43.0,23.0,48.0,0,0,0,0
2020-01-25 21:50:35.621089,23.0,38.0,24.0,48.0,24.0,43.0,23.0,50.0,25.0,41.0,23.0,38.0,23.0,43.0,23.0,48.0,1,0,0,0
2020-01-25 21:51:10.112988,23.0,37.0,24.0,48.0,24.0,46.0,23.0,50.0,25.0,40.0,23.0,38.0,23.0,42.0,23.0,48.0,1,0,0,0
2020-01-25 21:51:51.664309,23.0,37.0,24.0,47.0,24.0,42.0,24.0,49.0,25.0,40.0,23.0,38.0,23.0,42.0,23.0,48.0,1,0,0,0
2020-01-25 21:52:32.223500,24.0,34.0,25.0,46.0,24.0,44.0,24.0,48.0,26.0,40.0,24.0,36.0,23.0,41.0,24.0,46.0,1,0,0,0
2020-01-25 21:53:19.345425,24.0,34.0,25.0,45.0,25.0,43.0,24.0,43.0,26.0,39.0,24.0,35.0,24.0,40.0,24.0,45.0,1,0,0,0
