TIME,OUT_T[*K],OUT_H[%],T6[*K],H6[%],T12[*K],H12[%],T18[*K],H18[%],T19[*K],H19[%],T24[*K],H24[%],T25[*K],H25[%],T26[*K],H26[%],LAMP_STATE,FAN_STATE,AC_STATE,HEATER_STATE
2020-01-25 19:32:58.743184,22.0,41.0,23.0,51.0,22.0,48.0,22.0,52.0,23.0,44.0,22.0,45.0,22.0,47.0,22.0,51.0,0,0,0,0
2020-01-25 19:33:25.301405,22.0,41.0,23.0,51.0,22.0,48.0,22.0,52.0,23.0,45.0,22.0,47.0,22.0,48.0,22.0,51.0,0,0,0,0
2020-01-25 19:34:00.866601,22.0,41.0,23.0,51.0,22.0,48.0,22.0,52.0,23.0,45.0,22.0,46.0,22.0,48.0,22.0,51.0,0,0,0,0
2020-01-25 19:34:32.435350,22.0,41.0,23.0,51.0,22.0,48.0,22.0,49.0,23.0,45.0,22.0,46.0,22.0,48.0,22.0,51.0,0,0,0,0
2020-01-25 19:35:13.090901,22.0,41.0,23.0,51.0,22.0,48.0,22.0,52.0,23.0,45.0,22.0,46.0,22.0,48.0,22.0,51.0,0,0,0,0
2020-01-25 19:35:53.740158,22.0,41.0,23.0,51.0,22.0,46.0,22.0,52.0,23.0,45.0,22.0,47.0,22.0,48.0,22.0,51.0,0,0,0,0
2020-01-25 19:36:22.815757,22.0,40.0,23.0,51.0,22.0,48.0,22.0,52.0,23.0,45.0,22.0,47.0,22.0,48.0,22.0,51.0,0,0,0,0
2020-01-25 19:37:12.026945,22.0,40.0,23.0,51.0,22.0,48.0,22.0,48.0,23.0,45.0,22.0,47.0,22.0,48.0,22.0,51.0,0,0,0,0
2020-01-25 19:37:43.588531,22.0,41.0,23.0,51.0,22.0,45.0,22.0,52.0,23.0,45.0,22.0,47.0,22.0,48.0,22.0,51.0,0,0,0,0
2020-01-25 19:38:19.224391,22.0,41.0,23.0,51.0,22.0,48.0,22.0,52.0,23.0,45.0,22.0,47.0,22.0,48.0,22.0,51.0,0,0,0,0
2020-01-25 19:38:56.362223,22.0,41.0,23.0,51.0,22.0,48.0,22.0,52.0,23.0,45.0,22.0,47.0,22.0,48.0,22.0,51.0,0,0,0,0
2020-01-25 19:39:34.514761,22.0,40.0,23.0,51.0,22.0,48.0,22.0,52.0,23.0,45.0,22.0,47.0,22.0,47.0,22.0,51.0,0,0,0,0
2020-01-25 19:40:07.656777,22.0,40.0,23.0,50.0,22.0,48.0,22.0,52.0,24.0,45.0,22.0,46.0,22.0,47.0,22.0,51.0,1,0,0,0
2020-01-25 19:40:41.724797,22.0,40.0,23.0,50.0,22.0,48.0,22.0,51.0,24.0,43.0,23.0,46.0,22.0,46.0,22.0,51.0,1,0,0,0
2020-01-25 19:41:17.317073,23.0,39.0,24.0,49.0,23.0,47.0,23.0,46.0,24.0,42.0,23.0,45.0,23.0,45.0,22.0,50.0,1,0,0,0
2020-01-25 19:41:54.485945,23.0,38.0,24.0,49.0,23.0,47.0,23.0,45.0,24.0,42.0,23.0,44.0,23.0,45.0,23.0,50.0,1,0,0,0
2020-01-25 19:42:31.132235,24.0,36.0,24.0,47.0,24.0,43.0,23.0,45.0,25.0,42.0,24.0,43.0,23.0,44.0,23.0,49.0,1,0,0,0
2020-01-25 19:43:10.261322,24.0,35.0,25.0,47.0,24.0,45.0,23.0,48.0,25.0,41.0,24.0,41.0,23.0,43.0,23.0,49.0,1,0,0,0
2020-01-25 19:43:45.865911,25.0,34.0,25.0,47.0,24.0,44.0,24.0,47.0,25.0,41.0,24.0,39.0,24.0,43.0,23.0,48.0,1,0,0,0
2020-01-25 19:44:27.081592,25.0,33.0,25.0,46.0,24.0,42.0,24.0,43.0,25.0,40.0,24.0,39.0,24.0,42.0,24.0,48.0,1,0,0,0
2020-01-25 19:45:00.140434,26.0,33.0,25.0,46.0,24.0,44.0,24.0,46.0,26.0,41.0,24.0,38.0,24.0,42.0,24.0,47.0,1,0,0,0
2020-01-25 19:45:36.747124,26.0,32.0,25.0,46.0,24.0,44.0,24.0,42.0,26.0,40.0,24.0,37.0,24.0,42.0,24.0,47.0,1,0,0,0
2020-01-25 19:46:11.342798,27.0,30.0,25.0,45.0,25.0,43.0,24.0,42.0,26.0,39.0,25.0,37.0,24.0,41.0,24.0,47.0,1,0,0,0
2020-01-25 19:46:48.476509,27.0,30.0,25.0,45.0,25.0,40.0,25.0,45.0,26.0,39.0,25.0,37.0,24.0,41.0,24.0,46.0,1,0,0,0
