TIME,OUT_T[*K],OUT_H[%],T6[*K],H6[%],T12[*K],H12[%],T18[*K],H18[%],T19[*K],H19[%],T24[*K],H24[%],T25[*K],H25[%],T26[*K],H26[%],,,,
02:01.2,22,47,23,55,22,51,22,55,23,49,22,51,21,51,22,54,,,,
02:33.3,22,47,23,56,22,51,22,52,23,49,22,52,21,52,22,54,,,,
03:07.3,22,47,23,55,22,51,22,55,23,49,22,52,22,53,22,55,,,,
03:54.2,22,47,23,55,22,51,22,55,23,49,22,52,21,52,22,54,,,,
04:30.8,22,47,23,54,22,48,22,55,23,49,22,52,21,51,22,54,,,,
05:08.9,22,47,23,54,22,50,22,52,23,48,22,52,22,52,22,54,,,,
05:50.6,22,47,23,54,22,51,22,55,23,49,22,52,22,52,22,54,,,,
06:18.5,22,47,23,54,22,51,22,55,23,49,22,52,22,52,22,54,,,,
06:52.6,22,47,23,54,22,50,22,55,23,49,22,52,22,52,22,54,,,,
07:24.1,22,48,23,54,22,48,22,55,23,49,22,51,22,52,22,54,,,,
07:53.1,22,48,23,54,22,51,22,55,23,49,22,52,22,52,22,54,,,,
08:22.1,22,48,23,54,22,48,22,55,23,49,22,51,22,52,22,54,,,,
08:52.7,22,48,23,54,22,50,22,55,23,48,22,51,22,51,22,54,,,,
09:21.7,22,47,23,54,22,50,22,55,23,48,22,51,22,51,22,54,,,,
09:53.2,22,46,23,53,23,49,22,54,23,48,22,50,22,51,22,54,,,,
10:24.7,23,45,24,52,23,46,22,53,24,47,23,49,22,50,22,53,,,,
10:55.2,23,44,24,52,23,48,23,53,24,46,23,49,23,50,22,53,,,,
11:24.2,24,42,24,51,23,48,23,52,24,46,23,48,23,49,23,52,,,,
11:50.7,24,41,24,51,23,47,23,51,25,45,23,46,23,48,23,52,,,,
12:28.8,24,41,24,51,23,47,23,48,25,45,23,46,23,48,23,52,,,,
12:55.2,25,39,24,50,24,47,23,51,25,44,24,46,23,47,23,51,,,,
13:29.4,25,39,24,50,24,46,24,50,25,44,24,45,23,47,23,51,,,,
14:01.0,25,38,25,50,24,46,24,50,25,43,24,44,23,47,23,51,,,,
14:34.0,26,38,25,49,24,46,24,50,25,43,24,44,24,47,24,50,,,,
15:03.1,26,36,25,49,24,45,24,49,26,44,24,43,24,46,24,50,,,,
15:37.1,26,36,25,49,24,42,24,49,26,44,24,42,24,46,24,50,,,,
16:11.1,26,36,25,49,25,45,24,49,26,44,24,42,24,45,24,50,,,,
16:42.8,26,35,25,48,25,45,24,49,26,44,25,41,24,45,24,49,,,,
17:11.7,27,34,25,48,25,45,25,48,26,43,25,41,24,45,24,49,,,,
17:48.3,27,34,26,49,25,44,25,45,26,43,25,40,24,45,24,49,,,,
18:19.9,27,33,25,48,25,42,25,48,26,42,25,40,24,45,24,48,,,,
19:01.5,27,33,25,48,25,44,25,48,27,42,25,40,24,44,24,48,,,,
