TIME,OUT_T[*K],OUT_H[%],T6[*K],H6[%],T12[*K],H12[%],T18[*K],H18[%],T19[*K],H19[%],T24[*K],H24[%],T25[*K],H25[%],T26[*K],H26[%]
2020-01-24 16:27:02.906577,71.6,56.0,73.4,57.0,71.6,50.0,71.6,55.0,73.4,49.0,71.6,52.0,71.6,54.0,71.6,55.0
2020-01-24 16:27:52.094228,71.6,56.0,73.4,57.0,71.6,50.0,71.6,55.0,73.4,50.0,71.6,52.0,71.6,54.0,71.6,55.0
2020-01-24 16:28:33.586367,71.6,56.0,73.4,57.0,71.6,50.0,71.6,55.0,73.4,49.0,71.6,52.0,71.6,54.0,71.6,55.0
2020-01-24 16:29:24.189859,71.6,57.0,73.4,57.0,71.6,47.0,71.6,55.0,73.4,50.0,71.6,52.0,71.6,54.0,71.6,55.0
2020-01-24 16:30:14.787095,71.6,57.0,73.4,57.0,71.6,47.0,71.6,51.0,73.4,49.0,71.6,52.0,71.6,54.0,71.6,55.0
2020-01-24 16:31:05.379479,71.6,57.0,73.4,57.0,71.6,50.0,71.6,55.0,73.4,49.0,71.6,53.0,71.6,54.0,71.6,55.0
2020-01-24 16:31:53.494587,71.6,57.0,73.4,57.0,71.6,47.0,71.6,52.0,73.4,50.0,71.6,53.0,71.6,54.0,71.6,55.0
TIME,OUT_T[*K],OUT_H[%],T6[*K],H6[%],T12[*K],H12[%],T18[*K],H18[%],T19[*K],H19[%],T24[*K],H24[%],T25[*K],H25[%],T26[*K],H26[%]
2020-01-24 16:37:15.392045,71.6,57.0,73.4,57.0,71.6,50.0,71.6,52.0,73.4,50.0,71.6,53.0,71.6,54.0,71.6,55.0
2020-01-24 16:38:10.769778,71.6,58.0,73.4,57.0,71.6,47.0,71.6,52.0,73.4,50.0,71.6,53.0,71.6,54.0,71.6,55.0
2020-01-24 16:38:59.965160,71.6,58.0,73.4,57.0,71.6,50.0,71.6,55.0,73.4,50.0,71.6,53.0,71.6,54.0,71.6,55.0
2020-01-24 16:39:49.775351,71.6,58.0,73.4,57.0,71.6,50.0,71.6,55.0,73.4,50.0,71.6,53.0,71.6,54.0,71.6,55.0
2020-01-24 16:40:35.513370,71.6,58.0,73.4,57.0,71.6,50.0,71.6,55.0,73.4,50.0,71.6,53.0,71.6,54.0,71.6,55.0
2020-01-24 16:41:21.257834,69.8,57.0,73.4,57.0,71.6,50.0,71.6,54.0,73.4,49.0,71.6,52.0,71.6,54.0,71.6,54.0
2020-01-24 16:42:10.512554,71.6,57.0,73.4,55.0,73.4,46.0,73.4,53.0,75.2,48.0,71.6,52.0,71.6,53.0,71.6,54.0
2020-01-24 16:43:02.735076,73.4,55.0,75.2,55.0,73.4,46.0,73.4,52.0,75.2,47.0,73.4,50.0,73.4,52.0,71.6,53.0
2020-01-24 16:43:54.573920,75.2,50.0,75.2,55.0,75.2,47.0,73.4,48.0,77.0,46.0,73.4,50.0,73.4,51.0,73.4,52.0
2020-01-24 16:44:51.473020,75.2,50.0,75.2,54.0,73.4,44.0,73.4,51.0,77.0,46.0,75.2,48.0,73.4,50.0,73.4,52.0
2020-01-24 16:45:38.234061,77.0,48.0,75.2,52.0,75.2,46.0,75.2,51.0,77.0,46.0,75.2,47.0,75.2,49.0,75.2,51.0
2020-01-24 16:46:28.975843,77.0,47.0,77.0,52.0,75.2,43.0,75.2,50.0,77.0,45.0,75.2,47.0,75.2,49.0,75.2,51.0
2020-01-24 16:47:07.183270,77.0,45.0,77.0,52.0,75.2,45.0,75.2,50.0,78.8,46.0,75.2,47.0,75.2,48.0,75.2,51.0
2020-01-24 16:47:52.987474,78.8,46.0,77.0,51.0,77.0,45.0,75.2,50.0,78.8,46.0,75.2,46.0,75.2,48.0,75.2,51.0
2020-01-24 16:48:33.717489,78.8,45.0,77.0,51.0,77.0,42.0,75.2,49.0,78.8,45.0,75.2,46.0,75.2,48.0,75.2,50.0
2020-01-24 16:49:12.981568,78.8,44.0,77.0,51.0,77.0,45.0,77.0,49.0,78.8,45.0,77.0,45.0,75.2,48.0,75.2,50.0
2020-01-24 16:49:57.675875,80.6,42.0,77.0,51.0,77.0,45.0,77.0,49.0,78.8,45.0,77.0,45.0,75.2,47.0,75.2,50.0
2020-01-24 16:50:45.997913,80.6,42.0,77.0,50.0,77.0,44.0,77.0,45.0,78.8,44.0,77.0,45.0,75.2,47.0,77.0,50.0
2020-01-24 16:51:32.770760,80.6,42.0,78.8,51.0,78.8,42.0,77.0,48.0,80.6,44.0,77.0,44.0,77.0,47.0,77.0,50.0
2020-01-24 16:52:32.084654,80.6,41.0,78.8,51.0,78.8,42.0,77.0,45.0,80.6,44.0,77.0,44.0,77.0,47.0,77.0,49.0
2020-01-24 16:53:13.745766,80.6,40.0,78.8,51.0,78.8,45.0,77.0,48.0,80.6,44.0,78.8,44.0,77.0,47.0,77.0,49.0
2020-01-24 16:53:59.413693,82.4,41.0,78.8,51.0,78.8,45.0,77.0,48.0,80.6,44.0,78.8,44.0,75.2,47.0,77.0,49.0
2020-01-24 16:54:46.104479,80.6,40.0,77.0,51.0,78.8,45.0,77.0,48.0,78.8,45.0,77.0,44.0,75.2,47.0,77.0,50.0
2020-01-24 16:55:29.228161,80.6,41.0,77.0,52.0,77.0,45.0,77.0,50.0,78.8,46.0,77.0,45.0,75.2,49.0,77.0,50.0
2020-01-24 16:56:22.445184,78.8,42.0,77.0,52.0,77.0,43.0,77.0,47.0,78.8,47.0,77.0,45.0,75.2,49.0,75.2,51.0
