TIME,OUT_T[*C],OUT_H[%],T6[*C],H6[%],T12[*C],H12[%],T18[*C],H18[%],T19[*C],H19[%],T24[*C],H24[%],T25[*C],H25[%],T26[*C],H26[%],LAMP_STATE,FAN_STATE,AC_STATE,HEATER_STATE
2020-02-03 12:40:01.345936,39.0,16.0,32.0,33.0,31.0,36.0,27.0,46.0,36.0,27.0,34.0,27.0,30.0,34.0,30.0,39.0,0,1,0,0
2020-02-03 12:40:12.757019,39.0,16.0,32.0,33.0,31.0,36.0,27.0,46.0,36.0,27.0,33.0,27.0,30.0,34.0,30.0,39.0,0,1,0,0
2020-02-03 12:40:19.049904,39.0,16.0,32.0,34.0,31.0,36.0,27.0,46.0,36.0,27.0,33.0,27.0,30.0,34.0,30.0,39.0,0,1,0,0
2020-02-03 12:40:27.879119,37.0,16.0,32.0,34.0,31.0,37.0,27.0,46.0,36.0,29.0,33.0,26.0,29.0,35.0,30.0,39.0,0,1,0,0
2020-02-03 12:40:36.711185,34.0,19.0,32.0,34.0,31.0,37.0,27.0,46.0,36.0,29.0,33.0,27.0,29.0,35.0,30.0,40.0,0,1,0,0
2020-02-03 12:40:43.015075,31.0,26.0,32.0,34.0,30.0,36.0,27.0,46.0,36.0,30.0,33.0,27.0,29.0,35.0,30.0,39.0,0,1,0,0
2020-02-03 12:40:51.857131,30.0,26.0,32.0,34.0,30.0,36.0,27.0,46.0,36.0,30.0,33.0,27.0,29.0,35.0,30.0,39.0,0,1,0,0
2020-02-03 12:41:00.716172,29.0,29.0,32.0,34.0,30.0,36.0,27.0,46.0,36.0,30.0,33.0,27.0,29.0,35.0,29.0,39.0,0,1,0,0
2020-02-03 12:41:09.573870,28.0,31.0,32.0,35.0,30.0,36.0,27.0,46.0,35.0,30.0,32.0,27.0,29.0,36.0,29.0,40.0,0,1,0,0
2020-02-03 12:41:15.911395,27.0,31.0,31.0,35.0,30.0,37.0,27.0,46.0,35.0,31.0,32.0,27.0,29.0,36.0,29.0,40.0,0,1,0,0
2020-02-03 12:41:24.735800,26.0,33.0,31.0,36.0,30.0,37.0,27.0,46.0,35.0,31.0,32.0,27.0,29.0,36.0,29.0,41.0,0,1,0,0
2020-02-03 12:41:33.585266,25.0,34.0,31.0,36.0,30.0,37.0,27.0,46.0,35.0,32.0,32.0,27.0,29.0,36.0,29.0,41.0,0,1,0,0
2020-02-03 12:41:47.467121,25.0,35.0,31.0,36.0,30.0,35.0,27.0,47.0,35.0,32.0,32.0,28.0,28.0,36.0,29.0,41.0,0,1,0,0
2020-02-03 12:41:56.293866,24.0,38.0,31.0,37.0,29.0,37.0,26.0,46.0,34.0,32.0,32.0,28.0,28.0,36.0,29.0,41.0,0,1,0,0
2020-02-03 12:42:02.588222,24.0,39.0,31.0,37.0,29.0,38.0,27.0,46.0,34.0,32.0,32.0,28.0,28.0,36.0,29.0,42.0,0,1,0,0
2020-02-03 12:42:08.884047,24.0,40.0,31.0,37.0,29.0,38.0,26.0,47.0,34.0,33.0,31.0,28.0,28.0,36.0,29.0,42.0,0,1,0,0
2020-02-03 12:42:20.223739,23.0,41.0,31.0,38.0,29.0,38.0,26.0,47.0,34.0,33.0,31.0,29.0,28.0,36.0,29.0,42.0,0,1,0,0
