TIME,OUT_T[*C],OUT_H[%],T6[*C],H6[%],T12[*C],H12[%],T18[*C],H18[%],T19[*C],H19[%],T24[*C],H24[%],T25[*C],H25[%],T26[*C],H26[%],LAMP_STATE,FAN_STATE,AC_STATE,HEATER_STATE
2020-02-03 12:01:34.146468,22.0,47.0,26.0,46.0,24.0,40.0,24.0,48.0,27.0,41.0,25.0,39.0,24.0,43.0,24.0,46.0,1,0,0,0
2020-02-03 12:01:45.546825,22.0,47.0,26.0,46.0,24.0,43.0,24.0,48.0,27.0,41.0,25.0,39.0,24.0,43.0,24.0,46.0,1,0,0,0
2020-02-03 12:01:51.841962,22.0,47.0,26.0,46.0,24.0,43.0,24.0,48.0,27.0,41.0,25.0,39.0,24.0,43.0,24.0,46.0,1,0,0,0
2020-02-03 12:02:03.200257,22.0,47.0,26.0,46.0,24.0,40.0,24.0,48.0,27.0,39.0,25.0,39.0,24.0,43.0,24.0,46.0,1,0,0,0
2020-02-03 12:02:12.060122,23.0,46.0,26.0,46.0,25.0,43.0,24.0,48.0,27.0,39.0,25.0,39.0,24.0,43.0,24.0,46.0,1,0,0,0
2020-02-03 12:02:18.356957,23.0,45.0,26.0,46.0,25.0,42.0,24.0,48.0,28.0,39.0,25.0,39.0,24.0,42.0,24.0,46.0,1,0,0,0
2020-02-03 12:02:27.182254,24.0,44.0,26.0,46.0,25.0,39.0,24.0,48.0,28.0,39.0,25.0,38.0,24.0,42.0,25.0,45.0,1,0,0,0
2020-02-03 12:02:36.060306,24.0,43.0,26.0,46.0,25.0,42.0,24.0,48.0,28.0,40.0,25.0,38.0,24.0,42.0,25.0,45.0,1,0,0,0
2020-02-03 12:02:44.912716,24.0,42.0,26.0,45.0,25.0,42.0,24.0,48.0,28.0,39.0,26.0,39.0,24.0,42.0,25.0,45.0,1,0,0,0
2020-02-03 12:02:51.229094,25.0,41.0,26.0,45.0,25.0,41.0,24.0,48.0,28.0,39.0,26.0,38.0,25.0,41.0,25.0,45.0,1,0,0,0
